"","shortnam","avexpr","logem4","avelf","catho80","muslim80","legor_fr","no_cpm80","f_brit","f_french","temp1","temp2","temp3","temp4","temp5","humid1","humid2","humid3","humid4","steplow","deslow","stepmid","desmid","drystep","drywint","edes1975","euro1900","landlock","goldm","iron","silv","zinc","oilres","malfal94","leb95","imr95","meantemp","lt100km","yellow","lat_abst","ind_time","exconst_01","democ_01","exconst_00","democ_00","logpgp95","loghjypl","baseco","neo_europe"
"47","EST",NA,NA,NA,2,0.01,0,31.99,0,0,5,7,33,-33,5,70,91,58,89,0,0,0,0,0,0,100,100,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0.6555555,1917,7,8,NA,NA,8.77287148592619,NA,FALSE,FALSE
"48","ETH",5.72727251052856,3.25809645652771,0.6770825,0.7,31.4,1,64.1,0,0,17,27,34,0,7,56,86,33,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,43.32,116,NA,0.021018,1,0.0888889,1855,7,5,7,5,6.02397999868221,-4.0595153470891,TRUE,FALSE
"49","FIN",9.72727298736572,NA,0.105,0.1,0,0,6.800002,0,0,5,7,33,-33,5,70,91,58,89,0,0,0,0,0,0,100,100,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0.7111111,1917,7,8,NA,NA,9.88019504904199,-0.647248843410441,FALSE,FALSE
"50","FJI",NA,2.43361330032349,0.8,9,7.8,0,44.1,1,0,25,32,37,13,19,76,82,73,79,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0.2,1970,7,6,NA,NA,8.52916138428872,-1.86217960838684,FALSE,FALSE
"51","FRA",9.72727298736572,1.05779027938843,0.1454839,76.4,3,1,18.2,0,0,13,15,40,-15,9,82,91,54,82,0,0,0,0,0,0,100,100,0,0,1,0,0,3090,NA,NA,NA,NA,NA,0,0.5111111,1800,1,0,7,8,9.93921297727611,-0.455026033313664,FALSE,FALSE
"52","GAB",7.81818199157715,5.63478946685791,0.7966667,65.2,0.8,1,15.2,0,1,27,33,37,17,19,85,95,69,79,0,0,0,0,0,0,0,0,0,0,0,0,0,579000,1,52.42,87.3,24.5,0.261791,1,0.0111111,1960,2,0,NA,NA,9.56446319522287,-1.41627750156604,TRUE,FALSE
"53","GBR",9.77272701263428,0.936093330383301,0.1062846,13.1,1.4,0,69.4,0,0,12,14,34,-10,7,70,87,56,81,0,0,0,0,0,0,100,100,0,0,0,0,0,71700,NA,NA,NA,NA,NA,0,0.6,1800,7,4,7,7,9.92842104089245,-0.6191823635288,FALSE,FALSE
"54","GEO",NA,NA,NA,1,11,0,88,0,0,13,20,40,-15,14,57,80,40,65,0,0,1,0,0,0,100,100,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0.4666667,1991,4,4,NA,NA,7.54134304172487,NA,FALSE,FALSE
"55","GHA",6.27272748947144,6.50428819656372,0.7060708,18.7,15.7,0,39.8,1,0,27,32,38,15,21,95,97,61,77,1,0,0,0,0,0,0,0,0,0,0,0,0,30,1,60,65.8,26.35758,0.192991,1,0.0888889,1960,3,2,NA,NA,7.31026603389913,-2.6756389930118,TRUE,FALSE
"56","GIN",6.54545450210571,6.18001651763916,0.75983,1.1,69,1,29.8,0,1,27,31,36,17,21,83,94,63,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,46.5,124,24.43889,0.140641,1,0.1222222,1958,1,0,NA,NA,6.96081950383694,-2.4512424132259,TRUE,FALSE
